drug_id_top10,mse_top10,drug_id_bottom10,mse_bottom10
1262,0.22226279163462093,135,6.373094535366943
266,0.23668810921775246,1248,6.3340777546863425
150,0.25630789276976673,268,5.1194136698726425
1264,0.27734422796081964,346,4.779837502721888
91,0.3358775317347949,190,4.731712081209839
341,0.3465417755156733,3,4.485933707441746
205,0.37431650921383,51,4.451908479070913
1502,0.3844834794804857,299,4.172586876692939
312,0.4392726192865245,344,3.9657242634356837
1018,0.4403787501073233,302,3.921598608754037
