drug_id_top10,mse_top10,drug_id_bottom10,mse_bottom10
1262,0.22350831851412414,135,6.3763841751671375
266,0.2383262425873304,1248,6.3638031622412665
150,0.2576818367482105,268,5.10200247592698
1264,0.2851276257767541,3,4.879452503659564
91,0.3326340110116457,346,4.736398571950437
341,0.3499618345658719,190,4.735117427732725
205,0.3786781879432337,51,4.57203481077516
1502,0.3942102853597159,299,4.157039470439795
312,0.4389775340977757,344,3.9782346842170937
1018,0.45033216832000617,56,3.930705040706867
